draw_id,draw_date,d1,d2,d3,combo,pattern,source,fetched_at
260625,2026-06-25,1,9,2,1-9-2,ABC,goodreturns.in,2026-06-25T18:03:02.715700+00:00
260624,2026-06-24,8,5,2,8-5-2,ABC,goodreturns.in,2026-06-25T18:03:02.715711+00:00
260623,2026-06-23,4,1,0,4-1-0,ABC,goodreturns.in,2026-06-25T18:03:02.715716+00:00
260622,2026-06-22,2,0,0,2-0-0,AAB,goodreturns.in,2026-06-25T18:03:02.715719+00:00
260621,2026-06-21,8,0,7,8-0-7,ABC,goodreturns.in,2026-06-25T18:03:02.715722+00:00
260620,2026-06-20,3,1,5,3-1-5,ABC,goodreturns.in,2026-06-25T18:03:02.715725+00:00
260619,2026-06-19,7,2,8,7-2-8,ABC,goodreturns.in,2026-06-25T18:03:02.715728+00:00
